,Date,User,Tweet
27,2022-04-02 19:21:31+00:00,ZaidZamanHamid,"What is the emergency in India to order rush delivery of shoulder fired surface to air missiles? 

While chaos and anarchy unfolds in Pakistani capital, what do you think Indians would be planning? 

These are very dangerous times when the country is effectively headless today... https://t.co/mHXG290bKH"
28,2022-04-02 19:05:24+00:00,ZaidZamanHamid,"مجھے پندرہ برس ہوگئے یے عوام اور اشرافیہ کو یہ سمجھاتے ہوئے کہ یہ جمہوریت کا راستہ تم کو غرق کر دے گا۔۔۔اگر حقیقی معنوں میں تبدیلی چاہتے ہیں تو ملک میں اسلامی صدارتی نظام کی بات کریں۔۔
کاش کہ خان نے اس کے لیے جدوجہد کی ہوتی تو آج ان سازشوں کو نہ دیکھنا پڑتا۔۔ https://t.co/vsKoLCq9JF"
29,2022-04-02 14:53:46+00:00,ZaidZamanHamid,@MeyanFatih برابر کے شریک ہیں آپ کچھ بھی نہیں جانتے۔
30,2022-04-02 14:47:11+00:00,ZaidZamanHamid,"اب کسی کو کچھ نہیں سمجھایا جا سکتا۔۔
حالات مکمل طور پر تصادم کی جانب جا چکے ہیں۔۔۔
سول اور عسکری قیادت کے گناہ اب اس قوم پر عذاب بن کر نازل ہوں گے۔۔

اللہ پاکستان کی حفاظت کرے، پاک فوج کی حفاظت کرے۔۔
پاکستان کے دشمنوں کو ذلیل و خوار کرے۔۔

رمضان کریم مبارک آپ سب کو۔۔۔"
31,2022-04-02 14:42:22+00:00,ZaidZamanHamid,"آج ملک میں جو کچھ ہو رہا ہے اس کی سو فیصد ذمہ داری عمران خان، جنرل باجوہ اور جنرل فیض پر ہے۔۔
پچھلے تین برس یہ تینوں افراد، فوج اور سول حکومت، ایک ہی صفحہ پر تھے۔۔
جو بیان آج دیا گیا ہے اس کا عملی مظاہرہ تین برس سے ہو رہا تھا۔۔
تین برس سے ریاست سرنڈر ہی کر رہی تھی۔۔۔"
32,2022-04-02 14:38:41+00:00,ZaidZamanHamid,"لوگوں کو شاید احساس نہیں ہے کہ ملک خانہ جنگی‌اور سول نافرمانی کی جانب بڑھ رہا ہے ۔۔
جو کچھ جنرل باجوہ نے کہا ہے وہ نہ تو فوج کا بیانیہ ہے اور نہ ہی ریٹائرڈ فوجی افسران اور جوانوں کا۔۔۔
اس بیان کے بعد وہ قوم کا اعتماد کھو چکے ہیں۔ 
اس اٹھنے والے گردوغبار کے پیچھے  ہولناک تباہی ہے"
33,2022-04-02 12:12:47+00:00,ZaidZamanHamid,"جنرل باجوا پر اپنا جلال ضرور نکالیں۔
مگر پاک فوج اور آئی ایس آئی کو کچھ مت کہنا۔
پاک فوج کا ایک ڈسپلن ہے۔۔۔اسی پاک فوج پر جنرل ضیاء بھی سپہ سالار تھے ۔۔۔
اگر اس پاک فوج کا ڈسپلن ٹوٹا تو یہ 
ملک کے لیے انتہائی خطرناک بات ہوگی۔۔
اپنی آواز جنرل باجوہ اور عمران تک ضرور پہنچائیں۔"
34,2022-04-02 02:47:33+00:00,ZaidZamanHamid,"@Parker_shah What Imran was doing is called political interference into promotions and postings of army. In the past all pol govts tried to do this but was strongly resisted by the institution.
IK wanted general faiz to do political engineering for him. It has nothing to do with Afghanistan."
35,2022-04-02 02:42:56+00:00,ZaidZamanHamid,"@Parker_shah So either Imran could keep him as DG ISI, or he should be sent as a core commander to have the experience of leading a fighting corp. 
Imran could not have both but he was constantly insisting on destroying the structure of Pakistan army.
Obviously army resisted."
36,2022-04-02 02:39:07+00:00,ZaidZamanHamid,"@Parker_shah IK wanted to promote general faiz as COAS in November. But he also wanted Gen faiz to stay as DG ISI till that time. 
This would have totally destroyed Pakistan army discipline and structure. And create great security crisis for Pakistan, as COAS can only be a core commander."
37,2022-04-02 00:20:36+00:00,ZaidZamanHamid,"@Feminis82489829 Kashmir already had lots of voices..
What Kashmir needed was guns and he said whoever supports the freedom struggle will be doing damage to Kashmir cause....🙄🤦"
38,2022-04-02 00:19:28+00:00,ZaidZamanHamid,@Inamtanveerr America.
39,2022-04-01 22:40:50+00:00,ZaidZamanHamid,@ehtisham_nisar Army took those cases to the supreme court.....
40,2022-04-01 22:13:04+00:00,ZaidZamanHamid,"@asadzahid Every word I have written is truth..
My bias or otherwise does not matter if I am writing a factual analysis..
Increase your level of understanding not your level of criticism."
41,2022-04-01 21:01:55+00:00,ZaidZamanHamid,"@AhsenReza So the limitation of sticking to oath applies only to army? and not to SC, EC, Parliamentarians ?? 

This is where your most audacious intellectual dishonesty is exposed. Politicians are conniving with hostile powers &amp; that is ok for you. ....what a disgusting shameful logic."
42,2022-04-01 20:43:03+00:00,ZaidZamanHamid,"@SupremeCouncil8 I dont think I ever supported this extension. I might have said this about Raheel... :)
Every case is different."
43,2022-04-01 20:21:19+00:00,ZaidZamanHamid,@Muhamma13th I cannot write the details here. You have to take my words for it. These things cannot be discussed in public.
44,2022-04-01 20:18:56+00:00,ZaidZamanHamid,"35. 

This Pakistan is here to stay. There is NO power on earth that can undone it, are the prophetic words of the founder Quaid e Azam. We have passed through much more difficult times &amp; come out stronger. 

I see NO reason to panic or abandon the ship. These times will pass too"
45,2022-04-01 20:14:41+00:00,ZaidZamanHamid,"34. 

This is the corrupt democratic political &amp; judicial system of Pakistan which always remains on a self destruct fuse. Pak army has always been the rescuer of the last resort once the political system begins to collapse the State onto itself. 
 For now, Army has no choice!!"
46,2022-04-01 20:11:47+00:00,ZaidZamanHamid,"33. 

If the opposition parties are able to remove IK, then the next phase of political chaos will begin. 
They will not be able to form any stable govt either &amp; the system will begin to collapse on itself. 

This is where Army will once again be dragged in to stabilize the chaos"
47,2022-04-01 20:08:44+00:00,ZaidZamanHamid,"32. 

What happens after Sunday is wide open...all wild cards are at play. On the face of it, IK will lose his office. His party will vent their anger on the army for ""ditching"" them at this moment, without realizing that Army cannot take over the job of Supreme Court or EC."
48,2022-04-01 20:06:11+00:00,ZaidZamanHamid,"31. 

So, for now, it seems that GHQ will let the political process takes its course. It was the job of the Election Commission &amp; the Supreme Court to take cognizance of the intrusion in the political process but they have decided to remain ""neutral"". 
Army cannot send in troops"
49,2022-04-01 20:03:29+00:00,ZaidZamanHamid,"30. 

It will be great embarrassment for the GHQ also if the known corrupt &amp; treacherous convicts are allowed to come back to power through an externally supported political coup. Trying to stop this by force would mean a military takeover. There is NO other way to stop this."
